outcome.test.score,treatment,school,is.female,mother.attended.secondary.school,father.attened.secondary.school,failed.at.least.one.school.year,family.receives.cash.transfer,has.computer.with.internet.at.home,is.unemployed,has.some.form.of.income,saves.money.for.future.purchases,intention.to.save.index,makes.list.of.expenses.every.month,negotiates.prices.or.payment.methods,fincial.autonomy.index
85.03358459,1,33022003,1,0,0,0,0,1,0,1,0,62,0,1,60
47.66884613,1,35002963,1,1,0,0,0,1,0,1,0,43,0,1,
48.94694138,0,33096694,1,0,0,0,1,1,1,1,1,76,0,1,79
49.28175354,1,33004226,,,,,,,0,0,0,32,1,1,50
56.34470749,1,23070218,1,0,0,0,1,1,0,1,0,23,0,0,65
61.84473419,0,23190884,1,0,0,0,1,1,0,1,0,,0,1,67
64.6947403,1,17005060,1,1,0,0,0,0,0,1,0,21,0,0,31
65.91877747,1,23073411,1,1,0,0,0,1,,,,,,,
48.25905991,0,23100575,1,0,0,1,1,1,0,0,0,53,0,1,86
54.96579361,1,35925639,1,0,0,0,0,0,0,1,0,74,0,1,58
49.25910187,0,35012269,,,,,,,0,1,1,42,1,0,
83.68411255,1,23131802,1,0,0,0,1,1,0,1,0,63,0,1,82
75.72494507,1,23252294,1,0,0,0,1,1,0,1,0,64,0,0,60
43.76156616,0,23140780,1,0,0,1,1,1,0,0,1,52,1,1,58
58.02557373,0,17046270,1,1,0,0,1,1,0,1,0,62,1,1,52
40.77199936,0,23100133,1,1,0,0,1,1,,,,,,,
35.13438416,1,53001044,1,1,1,0,0,0,1,1,0,34,0,1,46
41.48017502,0,33074186,1,0,0,0,1,1,1,1,0,45,0,0,18
77.651474,1,33038473,1,1,0,0,0,1,1,1,1,73,0,0,18
44.96102905,0,35005204,0,0,0,1,0,1,0,1,1,41,0,1,39
84.68236542,0,35011666,0,0,0,0,0,0,1,1,0,57,0,1,31
76.97271729,1,35008758,0,0,1,0,0,1,0,1,0,48,0,1,62
60.27915192,1,33042543,0,1,0,1,1,0,1,1,0,91,0,1,16
50.2527504,0,53007492,0,1,1,0,0,0,0,0,0,73,0,1,46
53.93616104,1,35012300,,,,,,,0,0,0,,0,1,8
